player,team,position,height,weight,age,experience,college,salary,games,minutes,points,points3,points2,points1
Al Horford,BOS,C,92,245,30,9,University of Florida,36540100,68,2193,952,86,293,108
DeMarre Carroll,TOR,SF,90,215,30,7,University of Missouri,34200000,72,1882,638,109,111,89
DeMar DeRozan,TOR,SG,89,221,27,7,University of Southern California,26540100,74,2620,2020,33,688,545
James Harden,HOU,PG,90,220,27,7,Arizona State University,26540100,81,2947,2356,262,412,746
Dirk Nowitzki,DAL,PF,91,245,38,18,,25000000,54,1424,769,79,217,98
Carmelo Anthony,NYK,SF,90,240,32,13,Syracuse University,24559380,74,2538,1659,151,451,304
Dwight Howard,ATL,C,89,265,31,12,,23180275,74,2199,1002,0,388,226
Andre Drummond,DET,C,94,279,23,4,University of Connecticut,22116750,81,2409,1105,2,481,137
Anthony Davis,NOP,C,85,253,23,4,University of Kentucky,22116750,75,2708,2099,40,730,519
Chandler Parsons,MEM,SF,89,230,28,5,University of Florida,22116750,34,675,210,25,50,35
Harrison Barnes,DAL,PF,90,210,24,4,University of North Carolina,22116750,79,2803,1518,78,521,242
Hassan Whiteside,MIA,C,84,265,27,4,Marshall University,22116750,77,2513,1309,0,542,225
Amir Johnson,BOS,PF,85,240,29,11,,22000000,80,1608,520,27,186,67
Brook Lopez,BRK,C,90,275,28,8,Stanford University,21165675,75,2222,1539,134,421,295
DeAndre Jordan,LAC,C,90,265,28,8,Texas A&M University,21165675,81,2570,1029,0,412,205
Blake Griffin,LAC,PF,84,251,27,6,University of Oklahoma,20140838,61,2076,1316,38,441,320
Jonas Valanciunas,TOR,C,91,265,24,4,,19382022,80,2066,959,1,390,176
Allen Crabbe,POR,SG,85,210,24,3,University of California,18500000,79,2254,845,134,169,105
Jimmy Butler,CHI,SF,91,220,27,5,Marquette University,17552209,76,2809,1816,91,479,585
Enes Kanter,OKC,C,83,245,24,5,,17145838,72,1533,1033,5,397,224
Greg Monroe,MIL,C,83,265,26,6,Georgetown University,17100000,81,1823,951,0,387,177
Bismack Biyombo,ORL,C,89,255,24,5,,17000000,81,1793,483,0,179,125
Boban Marjanovic,DET,C,87,290,28,1,,17000000,35,293,191,0,72,47
Evan Fournier,ORL,SG,87,205,24,4,,17000000,68,2234,1167,128,280,223
Joakim Noah,NYK,C,83,230,31,9,University of Florida,17000000,46,1015,232,0,99,34
DeMarcus Cousins,NOP,C,87,270,26,6,University of Kentucky,16957900,17,574,414,36,106,94
Evan Turner,POR,SF,86,220,28,6,Ohio State University,16393443,65,1658,586,31,204,85
Gordon Hayward,UTA,SF,87,226,26,6,Butler University,16073140,73,2516,1601,149,396,362
Ian Mahinmi,WAS,C,83,250,30,8,,15944154,31,555,173,0,65,43
Bruno Caboclo,TOR,SF,91,218,21,2,,15896400,9,40,14,2,4,0
Draymond Green,GSW,PF,89,230,26,4,Michigan State University,15330435,76,2471,776,81,191,151
Danilo Gallinari,DEN,SF,87,225,28,7,,15050000,63,2134,1145,126,209,349
Jeff Green,ORL,PF,88,235,30,8,Georgetown University,15000000,69,1534,638,53,167,145
Deyonta Davis,MEM,C,89,237,20,0,Michigan State University,13692290,36,238,58,0,24,10
Jamal Crawford,LAC,SG,87,200,36,16,University of Michigan,13253012,82,2157,1008,116,243,174
J.R. Smith,CLE,SG,88,225,31,12,,12800000,41,1187,351,95,28,10
Jakob Poeltl,TOR,C,84,248,21,0,University of Utah,12703960,54,626,165,0,67,31
John Henson,MIL,C,89,229,26,4,University of North Carolina,12517606,58,1123,392,0,159,74
Arron Afflalo,SAC,SG,87,210,31,9,University of California. Los Angeles,12500000,61,1580,515,62,123,83
Jordan Clarkson,LAL,SG,87,194,24,2,University of Missouri,12500000,82,2397,1205,117,360,134
Georgios Papagiannis,SAC,C,85,240,19,0,,12202240,22,355,124,0,56,12
Goran Dragic,MIA,PG,85,190,30,8,,11890000,73,2459,1483,117,417,298
Jrue Holiday,NOP,PG,86,205,26,7,University of California. Los Angeles,11286518,67,2190,1029,100,305,119
Courtney Lee,NYK,SG,87,200,31,8,Western Kentucky University,11242000,77,2459,835,108,213,85
Edy Tavares,CLE,C,87,260,24,1,,11145000,1,24,6,0,3,0
Andre Iguodala,GSW,SF,88,215,33,12,University of Arizona,11131368,76,1998,574,64,155,72
Derrick Favors,UTA,PF,82,265,25,6,Georgia Institute of Technology,11050000,50,1186,476,3,200,67
Austin Rivers,LAC,SG,86,200,24,4,Duke University,11000000,74,2054,889,111,212,132
Joe Johnson,UTA,SF,89,240,35,15,University of Arkansas,11000000,78,1843,715,106,167,63
Jon Leuer,DET,PF,82,228,27,5,University of Wisconsin,10991957,75,1944,767,49,261,98
Bojan Bogdanovic,WAS,SF,88,216,27,2,,10730653,26,601,330,45,62,71
Jared Dudley,PHO,PF,87,225,31,9,Boston College,10470000,64,1362,434,77,80,43
Ivica Zubac,LAL,C,85,265,19,0,,10349560,38,609,284,0,126,32
Al Jefferson,IND,C,87,289,32,12,,10230179,66,931,535,0,235,65
Alec Burks,UTA,SG,88,214,25,5,University of Colorado,10154495,42,653,283,25,74,60
Danny Green,SAS,SG,88,215,29,7,University of North Carolina,10000000,68,1807,497,118,58,27
Alex Len,PHO,C,85,260,23,3,University of Maryland,9823621,77,1560,613,3,227,150
Damjan Rudez,ORL,SF,86,228,30,2,,9804310,45,314,82,20,11,0
Iman Shumpert,CLE,SG,87,220,26,5,Georgia Institute of Technology,9700000,76,1937,567,94,107,71
Jerryd Bayless,PHI,PG,85,200,28,8,University of Arizona,9424084,3,71,33,2,9,9
Gerald Henderson,PHI,SG,87,215,29,7,Duke University,9000000,72,1667,662,61,173,133
Christian Wood,CHO,PF,83,220,21,1,University of Nevada. Las Vegas,8746360,13,107,35,0,12,11
Cristiano Felicio,CHI,C,89,275,24,1,,8746360,66,1040,316,0,128,60
Ersan Ilyasova,ATL,PF,82,235,29,8,,8400000,26,633,270,32,61,52
Dwight Powell,DAL,C,86,240,25,2,Stanford University,8375000,77,1333,516,21,173,107
Chris McCullough,WAS,PF,83,200,21,1,Syracuse University,8091480,2,8,1,0,0,1
ETwaun Moore,NOP,SG,86,191,27,5,Purdue University,8081363,73,1820,700,77,206,57
Darrell Arthur,DEN,PF,87,235,28,7,University of Kansas,8070175,41,639,262,53,42,19
Anthony Tolliver,SAC,PF,88,240,31,8,Creighton University,8000000,65,1477,461,90,65,61
Garrett Temple,SAC,SG,88,195,30,6,Louisiana State University,8000000,65,1728,506,82,101,58
